Mean,Median,STD,Max,Min,Mode,Skewness,Kurtosis,Mean Abs Val,Class
0.072587224,0.119584861,12.21878272,74.0331503,-56.74538225,-56.74538225,0.464967906,7.807502133,8.682421973,1
-0.240492832,0.094352144,11.68667688,59.71844396,-50.58793928,-50.58793928,0.348391661,6.374927349,8.494144721,1
0.238909637,-0.121874998,10.73676892,52.57485093,-40.37152115,-40.37152115,0.327104945,4.756149497,8.148421268,1
0.021933229,0.272134303,10.11997642,52.98366932,-41.47504855,-41.47504855,0.164435181,5.474151759,7.544624153,1
-0.273103605,-0.234525019,12.99952418,59.15929319,-62.28296492,-62.28296492,-0.267835916,7.365423281,9.137891439,1
0.177213105,-0.212876247,9.702207416,49.48967405,-39.90937581,-39.90937581,0.122104594,4.428537402,7.48504163,1
-0.043646879,0.070247999,8.260336857,25.56216796,-33.31034736,-33.31034736,-0.106874221,2.911450836,6.632147091,1
-0.004994174,-0.249138505,9.435190975,35.72535839,-45.58647501,-45.58647501,-0.100223882,4.052507348,7.241790343,1
0.080269858,0.051589389,11.01955182,67.16137806,-43.9513789,-43.9513789,0.292516366,6.684577158,8.154533541,1
0.056880916,0.71648061,15.70298575,70.33198408,-71.45074175,-71.45074175,-0.160554813,5.378769297,11.40769032,1
-0.106136201,0.517809652,12.27131357,62.62174479,-40.43671457,-40.43671457,0.00199595,4.157797141,9.573360632,1
0.023370698,-0.238137473,10.55061239,59.13035231,-35.59948868,-35.59948868,0.403981537,5.618004532,7.785535942,1
0.036255775,-0.095498792,9.694319231,38.04310929,-39.24537842,-39.24537842,-0.037168034,4.299169901,7.250583818,1
0.016591,-0.048748337,11.53946598,50.67077894,-55.23353675,-55.23353675,-0.116052397,4.720321125,8.687310297,1
-0.131779837,0.031472268,8.132519438,54.14571424,-32.06997922,-32.06997922,0.499940472,7.111028046,6.12276721,1
0.15051597,0.303966098,10.65935509,48.96535913,-33.17185562,-33.17185562,0.116341595,3.490550014,8.35799877,1
-0.010689043,-0.055342218,9.616671933,47.72694476,-54.38255179,-54.38255179,-0.00889663,5.63120142,7.170463464,1
