Mean,Median,STD,Max,Min,Mode,Skewness,Kurtosis,Mean Abs Val,Class
0.027189095,-0.000477109,19.26568092,138.6250378,-70.30950433,-70.30950433,1.224810688,12.59446361,12.53116087,1
-0.025812375,0.149307342,15.46228696,146.9059803,-83.04624837,-83.04624837,1.905674082,24.68276554,9.387137836,1
-0.06889268,-0.189841346,18.04486851,135.6528935,-84.85948669,-84.85948669,1.759707726,16.95589127,11.24031416,1
0.070823515,0.003511255,20.89393527,154.1618124,-85.08256884,-85.08256884,1.578970686,15.58131938,12.709444,1
-0.057036302,-1.028193712,30.57382418,179.8736408,-171.2930033,-171.2930033,0.679457114,10.43975616,18.42716275,1
-0.087510086,-0.650018559,26.13598751,145.7512333,-116.6539743,-116.6539743,1.203793255,10.12416471,16.32331172,1
-0.166822485,-1.597426514,22.09071969,171.908091,-91.34894458,-91.34894458,2.339654557,17.16467056,13.56744939,1
0.205643631,0.158842522,19.84163185,139.0530152,-87.11721082,-87.11721082,1.498422692,13.80900051,12.40708916,1
0.096955959,-0.210799722,20.47018504,164.0097368,-79.81315993,-79.81315993,2.426064126,19.53514347,12.16725139,1
-0.0102788,0.11649778,10.34573245,46.37145024,-42.93967205,-42.93967205,0.138317532,4.534957352,7.911766835,1
-0.257103446,-0.146657941,17.51649877,114.8885271,-109.2303303,-109.2303303,0.819165778,15.4350841,10.65506373,1
0.133441223,-0.131043847,15.6909669,129.9782271,-86.52787964,-86.52787964,1.955878554,20.65672091,9.664022859,1
-0.023519815,0.056913355,17.04574107,143.0954687,-90.37359432,-90.37359432,1.022360747,13.77572486,11.41414759,1
-0.210237838,0.033501044,18.72258223,143.9565526,-79.94621588,-79.94621588,0.86011377,12.17594249,12.52333474,1
0.178322086,0.453709223,15.48135358,85.72196469,-76.78477908,-76.78477908,0.409271004,7.679284611,10.64115619,1
-0.022366059,-0.491924572,42.72079768,521.4415953,-223.4538538,-223.4538538,2.366360331,44.38246362,17.80432671,1
0.08890811,0.261685282,20.89830874,165.4244185,-90.88614099,-90.88614099,2.234303418,19.40176593,12.61650956,1
-0.121787401,-0.185036635,13.44786205,69.33571979,-50.81056369,-50.81056369,0.357919106,4.991701678,10.00595696,1
0.100069605,0.438872438,14.96620865,190.9544092,-169.1338874,-169.1338874,-0.018534346,22.18732221,9.670279398,1
-0.168989609,-0.109834595,11.14857683,78.73089886,-43.32277147,-43.32277147,0.461781537,7.333187732,8.111087072,1
0.131556222,0.00653956,11.23585001,62.44564127,-85.44492952,-85.44492952,0.136165652,7.928896483,8.028819268,1
-0.086251586,0.293521962,10.52301184,49.00628189,-53.56769099,-53.56769099,-0.201251174,4.701529072,8.047170689,1
0.064469958,0.511500967,12.45558299,59.75534001,-55.92881417,-55.92881417,-0.126678669,5.226160562,9.063457945,1
0.068572835,0.384029209,12.9857746,57.38766264,-45.81082983,-45.81082983,0.177821767,4.009467031,9.815668633,1
-0.035383884,-0.286083705,11.42347388,66.86728857,-46.26218896,-46.26218896,0.417743864,5.272354532,8.576394877,1
-0.095710481,-0.37100085,14.39287803,200.8034552,-100.717667,-100.717667,1.934907386,29.47322832,9.07844346,1
0.163551537,0.511832155,12.02947796,70.05049742,-46.27060891,-46.27060891,0.47878614,6.837935513,8.580351051,1
-0.055814219,0.192150991,10.47223258,47.01169371,-36.67188974,-36.67188974,0.216616332,5.124992104,7.702769543,1
0.016011721,0.03133221,11.06349197,63.12617544,-35.70189538,-35.70189538,0.480314973,4.813729223,8.541685997,1
0.021004882,-0.063807356,16.35156678,159.6589728,-218.6178696,-218.6178696,-0.553823502,26.39817354,10.81798843,1
-0.085593633,0.400437017,11.65121661,59.21639318,-51.50522162,-51.50522162,-0.18179242,6.249139915,8.3719482,1
-0.018154198,-0.351553784,12.40908399,50.2378416,-46.90304583,-46.90304583,0.17857287,3.60244852,9.771489214,1
-0.041811527,-0.042049622,11.49382694,54.75132901,-70.32309847,-70.32309847,-0.155494165,6.627869863,8.389607315,1
0.108942799,-0.491162163,20.54493292,140.8977144,-76.52825385,-76.52825385,1.569744063,13.30953018,13.15849518,1
-0.020896954,0.776931727,16.2877309,100.4170058,-84.74798166,-84.74798166,0.326906768,8.605932052,11.15256592,1
0.107123035,0.615747434,10.38590195,45.29879944,-45.89054164,-45.89054164,-0.312862796,4.59562491,7.89108807,1
0.005219856,-0.117611343,21.54872807,178.148693,-129.0771837,-129.0771837,1.071328354,13.18410718,14.55027695,1
0.200417663,0.575628054,21.98016473,189.753834,-129.2943655,-129.2943655,0.556565399,6.960644407,15.52752696,1
-0.207691544,0.120875876,17.07227101,142.3521702,-162.0812305,-162.0812305,0.030508018,11.54363891,11.60982615,1
0.014959744,0.384430002,13.08696586,148.7693096,-96.52464004,-96.52464004,1.343825538,22.44156538,8.810242405,1
-0.091027614,0.143244705,16.84015006,142.5026637,-104.7716848,-104.7716848,0.807597534,14.06350986,10.98626751,1
0.118822493,0.496493063,20.93726159,151.1354448,-88.14068643,-88.14068643,0.819720267,10.63756683,13.98982506,1
-0.311743973,0.39562662,14.24030772,46.71534189,-47.37948343,-47.37948343,-0.065527389,3.052406396,11.37631543,1
0.41698212,0.443665528,10.56583,40.71227852,-31.71404643,-31.71404643,0.180442504,3.21915268,8.304791804,1
-0.168570764,-0.786393589,10.34366241,45.60843175,-36.86642882,-36.86642882,0.286540256,3.800156518,7.984580606,1
0.054710463,0.078373217,11.30734665,41.52671057,-37.79264386,-37.79264386,0.04200568,3.192044367,8.8717442,1
-0.022952322,0.206358975,10.60831413,46.88085307,-49.22471799,-49.22471799,-0.128823078,3.769494984,8.311348286,1
-0.075301853,0.338961474,19.63217745,112.7136585,-110.7126759,-110.7126759,-0.089779488,5.776770179,14.24491505,1
0.018276275,-0.219251867,16.70809351,95.68922734,-64.78557557,-64.78557557,0.228178666,4.057401412,13.08713069,1
0.208882286,-0.049594432,17.45832578,156.189594,-62.69202948,-62.69202948,1.651844501,16.02149634,12.31730213,1
-0.393590291,-0.03111399,15.61098881,66.42690876,-64.51724106,-64.51724106,-0.246384268,3.850546174,12.05023444,1
0.319013689,0.12269148,13.46692096,50.82738337,-41.62136871,-41.62136871,0.158996858,3.216311684,10.67253249,1
-0.412656488,-0.290631647,17.41779759,105.2043092,-87.18266375,-87.18266375,0.165314014,7.336793602,12.69003435,1
0.326682655,0.368443242,21.87355508,84.74874135,-100.1360275,-100.1360275,-0.069920595,4.037418267,16.78242877,1
0.825882135,-0.439639313,60.72883714,602.8211723,-607.4792385,-607.4792385,0.509902013,32.32134179,26.70719077,1
-0.804682579,0.917709115,26.038807,156.1568448,-117.6350994,-117.6350994,-0.21281145,7.323041671,18.58608206,1
-0.051181476,-0.457193637,16.77090941,130.6816301,-50.85048984,-50.85048984,1.344503652,11.48606399,12.17104436,1
0.082527082,0.399466767,10.15300146,41.37867584,-42.56987775,-42.56987775,-0.136812592,3.369093125,7.977542673,1
-0.047547234,0.028006897,20.818932,127.1147763,-97.15238245,-97.15238245,1.239301916,12.30767884,12.58797938,1
-0.141070656,-0.246658262,12.81623363,95.75867191,-71.70264466,-71.70264466,1.106472355,13.72306201,8.554597424,1
0.072567482,-0.946610908,40.93688966,359.2112134,-520.9066277,-520.9066277,-0.158210323,14.45252776,30.90839743,0
-0.148557169,-0.030308991,28.92035035,68.77166561,-68.9467182,-68.9467182,0.003885779,1.862066799,25.19740581,0
-0.107256216,-0.265509311,32.70674345,83.74039493,-75.19620056,-75.19620056,0.003635325,1.862933161,28.51407339,0
0.242201864,-0.121243591,38.52230749,92.68849701,-93.37057807,-93.37057807,-0.005842808,1.755934483,33.80254922,0
-0.076335142,-0.045381951,35.24724574,79.90844691,-79.87443789,-79.87443789,0.004922489,1.714777435,31.09608634,0
0.007923488,0.262255664,38.04515701,93.87868514,-100.6342045,-100.6342045,-0.006867193,1.847203703,33.21690722,0
-0.102569004,0.359716466,36.7593572,192.8154763,-215.9799384,-215.9799384,-0.033279512,2.313164071,32.13428728,0
0.124631592,-0.037882283,36.61256017,79.81046686,-80.20127284,-80.20127284,0.000511197,1.736193303,32.31095734,0
-0.135474274,0.000297442,37.99364956,83.84260777,-92.56768538,-92.56768538,-0.001074079,1.737982867,33.4550404,0
0.028730538,-0.129691579,39.12750864,80.21871127,-88.53283654,-88.53283654,-0.003200159,1.673745308,34.62251725,0
-0.006845423,-0.229696431,56.13689272,224.0766703,-317.489475,-317.489475,-0.196796956,5.918157251,42.36565102,0
0.158345333,0.282570855,33.39292367,95.79870903,-84.91062606,-84.91062606,-0.003061838,1.782432418,29.24914137,0
-0.148389243,-47.3165266,209.2902766,651.333563,-692.206924,-692.206924,0.759159977,3.480945286,162.5676507,0
0.25285713,-44.84745238,185.6893177,665.0478679,-529.1771629,-529.1771629,1.353109561,5.071576641,133.0798968,0
-0.025212252,-39.46245168,189.159131,667.5762658,-560.8951575,-560.8951575,1.049733582,4.557027534,138.0956287,0
-0.529351433,-50.69849164,190.6110809,674.9646072,-544.6965974,-544.6965974,1.34278438,4.809706163,138.9041085,0
0.734658111,-32.64268974,193.0145457,669.3000117,-555.7300988,-555.7300988,0.774960799,4.027340915,145.1410003,0
-0.524627457,-26.35258142,162.0202409,666.4614488,-569.6847001,-569.6847001,1.343896791,7.315233825,106.9373518,0
0.893888977,-65.20428236,215.674586,789.4615658,-566.1138435,-566.1138435,1.050874777,3.601179587,168.1422202,0
-0.916475147,-69.01978869,217.2674927,677.7791644,-572.7951713,-572.7951713,0.985134696,3.4790355,171.0141376,0
0.233558582,-39.59120797,156.0866433,679.8805298,-283.1244695,-283.1244695,2.370259977,9.361666878,99.66300296,0
-0.217884555,-21.78078266,165.7411382,763.9617984,-610.2469405,-610.2469405,0.863024836,6.180820838,114.8051452,0
0.059417328,-19.1055552,181.8449685,657.6674769,-625.1348748,-625.1348748,0.520541485,4.318042921,135.1245645,0
-0.036484246,-31.31395627,169.9062659,672.0102297,-566.5258528,-566.5258528,1.404269657,6.302642487,115.5009564,0
0.014170159,-50.66026956,208.587488,767.2811949,-575.7998926,-575.7998926,0.918907401,3.816718421,158.9536219,0
0.041026115,-38.99886646,170.6478488,731.8403868,-559.1527582,-559.1527582,1.490518983,6.426852599,117.3739483,0
-0.386394435,-28.24173353,161.3367808,681.7296426,-577.7319239,-577.7319239,1.385886607,7.648896046,106.2565097,0
0.514822913,-18.11212133,123.0598299,687.4179354,-559.4948315,-559.4948315,1.634480928,12.89040104,76.35092218,0
-0.000169787,-6.595135808,110.819068,672.1706399,-564.4749006,-564.4749006,-0.493339495,11.28641318,70.44781205,0
-0.020853134,-8.672388981,112.4856677,679.0705499,-564.4544373,-564.4544373,-0.237666507,12.50009491,69.66772602,0
0.481719957,-0.069660511,154.5421627,1243.403725,-1060.735942,-1060.735942,-0.023027999,11.51418224,102.9898803,0
-0.56996302,0.210169798,64.07735358,153.2998328,-216.4076047,-216.4076047,-0.023717376,1.83358031,56.25192847,0
-0.005241689,-0.333273348,57.77196162,117.9832723,-115.1497816,-115.1497816,6.13E-05,1.62296108,51.38476378,0
-0.044870929,0.304359456,53.14747315,124.4730362,-118.2700799,-118.2700799,0.00271582,1.724629392,46.8818313,0
-0.017410561,0.219870443,52.3317676,107.8930443,-111.8815695,-111.8815695,-0.002947337,1.709743353,46.2952965,0
0.106029142,-0.174245578,56.38613142,143.2589166,-180.7245369,-180.7245369,-0.007954296,1.74914826,49.85484063,0
-0.135801811,0.34776239,58.44785725,282.8031883,-280.9793994,-280.9793994,0.001740681,1.932478221,51.75590517,0
0.594105142,2.970193759,163.5752637,634.9765693,-1002.702007,-1002.702007,-0.296849102,5.486104095,116.4980644,0
-0.409312431,1.714579591,78.87205509,482.1320234,-579.3711413,-579.3711413,-0.628754867,9.7975485,60.511602,0
-0.062534081,-0.628319776,57.53518701,112.229848,-113.8806333,-113.8806333,-0.000302306,1.603775299,51.2822178,0
0.007687431,0.45445218,59.27834261,114.5048383,-113.5090497,-113.5090497,-0.001396111,1.58982644,53.01865753,0
